"20151127_114556";"cibo";"patate/pure";"patate/pure1";"Polygon:";"2256  1363  2169  1323  2069  1336  2023  1373  2010  1421  2000  1439  2023  1558  2004  1589  2060  1663  2102  1654  2145  1680  2184  1700  2156  1728  2106  1758  2100  1804  2093  1869  2126  1900  2173  1915  2245  1950  2278  1900  2278  1858  2310  1858  2384  1841  2400  1789  2452  1723  2517  1769  2580  1732  2610  1700  2632  1652  2654  1600  2630  1573  2593  1554  2593  1532  2632  1513  2680  1432  2643  1395  2576  1373  2532  1295  2500  1286  2413  1302  2443  1221  2410  1200  2341  1200  2289  1254  2260  1313";"2000  1200  2680  1200  2680  1950  2000  1950"
"20151127_114556";"cibo";"pasta_mare_e_monti";"pasta_mare_e_monti1";"Polygon:";"1115   667  1104   710  1104   765  1023   782  1013   819  1036   860   982   858   900   934   886   978   843  1013   843  1056   845  1104   932  1076   917  1150   856  1141   850  1191   895  1176   928  1208   958  1197   991  1267  1089  1328  1139  1360  1141  1406  1121  1441  1152  1450  1193  1434  1230  1467  1293  1439  1341  1428  1417  1371  1445  1347  1469  1380  1491  1317  1523  1241  1582  1243  1608  1186  1613  1141  1576  1113  1580  1067  1623  1052  1604   973  1582   860  1543   832  1482   795  1417   750  1434   715  1406   691  1389   702  1350   684  1304   700  1323   730  1300   741  1267   741";"843   667  1623   667  1623  1467   843  1467"
"20151127_114946";"cibo";"pasta_mare_e_monti";"pasta_mare_e_monti1";"Polygon:";"2463  1304  2356  1326  2367  1358  2328  1365  2280  1360  2276  1404  2221  1373  2191  1413  2241  1430  2145  1491  2169  1550  2195  1586  2119  1641  2123  1673  2182  1667  2232  1830  2267  1906  2332  1952  2354  1995  2450  2002  2491  1965  2543  1984  2582  1950  2630  1941  2654  1950  2695  1986  2734  1995  2750  1941  2810  1876  2830  1943  2886  1923  2845  1804  2860  1739  2841  1676  2900  1691  2921  1656  2880  1628  2856  1600  2900  1528  2865  1513  2810  1556  2791  1521  2778  1421  2763  1400  2732  1430  2652  1358  2589  1295  2534  1289  2484  1256";"2119  1256  2921  1256  2921  2002  2119  2002"
"20151127_114946";"cibo";"pizza";"pizza1";"Polygon:";"1515   378  1586   410  1826   980  1841  1073  2004  1358  1939  1517  1382  1941  1200  2067  1169  2045  1086  1826   978  1463  1023  1054  1108   819  1254   573  1386   439";"978   378  2004   378  2004  2067   978  2067"
"20151127_114946";"cibo";"budino";"budino1";"Polygon:";"500  1311   500  1311   527  1301   553  1302   574  1311   607  1347   657  1384   706  1452   727  1493   729  1515   703  1567   670  1597   520  1700   487  1714   461  1714   432  1692   293  1504   289  1478   308  1455";"289  1301   729  1301   729  1714   289  1714"
"20151127_114946";"cibo";"mandarini";"mandarini1";"Polygon:";"676  574  703  577  780  625  804  664  814  714  804  762  787  787  762  804  705  822  678  821  615  805  571  756  550  702  554  655  586  610  624  584  655  576";"550  574  814  574  814  822  550  822"
"20151127_114946";"cibo";"mandarini";"mandarini2";"Polygon:";"634   924   652   929   698   954   728   989   741  1023   736  1072   728  1092   679  1145   646  1156   605  1157   561  1149   523  1130   482  1085   477  1046   481   997   502   962   566   924   608   920";"477   920   741   920   741  1157   477  1157"
"20151127_115133";"cibo";"pasta_zafferano_e_piselli";"pasta_zafferano_e_piselli1";"Polygon:";"2104   608  2069   663  2060   639  2013   660  1950   673  1841   841  1845   869  1876   860  1845   923  1921   900  1893   943  1819   995  1880  1032  1926  1000  1941  1084  1904  1082  1856  1106  1882  1130  1932  1169  1930  1186  2089  1286  2171  1269  2252  1280  2328  1336  2400  1343  2408  1400  2434  1404  2463  1350  2489  1236  2528  1293  2569  1260  2569  1210  2634  1258  2619  1180  2673  1182  2730  1130  2676  1060  2771  1006  2667  1000  2850   952  2773   915  2728   867  2686   867  2710   828  2658   789  2578   689  2621   673  2432   534  2360   545  2302   521  2228   536  2258   576  2193   571  2132   513  2115   550  2071   560";"1819   513  2850   513  2850  1404  1819  1404"
"20151127_115133";"cibo";"arrosto";"arrosto1";"Polygon:";"1050  1063   991   991   936   945   856   943   754   963   693  1013   641  1093   632  1108   567  1091   534  1126   495  1256   471  1276   523  1358   367  1439   450  1584   534  1569   619  1482   652  1452   676  1378   771  1332   810  1345   815  1295   834  1269   936  1280   967  1334  1023  1313  1104  1258  1065  1208  1136  1200  1169  1215  1215  1167  1141  1130";"367   943  1215   943  1215  1584   367  1584"
"20151127_115133";"cibo";"patate/pure";"patate/pure1";"Polygon:";"545  1571   593  1641   621  1595   656  1615   630  1652   650  1739   702  1710   752  1686   767  1717   713  1754   795  1793   858  1786   902  1745   906  1719   971  1730  1021  1713  1052  1680  1108  1639  1147  1615  1173  1569  1247  1604  1258  1528  1267  1436  1258  1400  1250  1360  1269  1315  1184  1278  1165  1273  1106  1265  1023  1315   967  1339   934  1289   836  1278   815  1345   765  1347   680  1386   667  1419   647  1476";"545  1265  1269  1265  1269  1793   545  1793"
"20151127_115133";"cibo";"mandarini";"mandarini1";"Polygon:";"363  385  384  381  409  378  437  387  456  395  486  414  514  452  531  495  531  544  517  578  488  607  451  631  394  640  334  617  297  589  268  549  257  498  278  427  311  398  338  389";"257  378  531  378  531  640  257  640"
