20151127_114556,patate/pure,2000  1200  2680  1200  2680  1950  2000  1950
20151127_114556,pasta_mare_e_monti,843   667  1623   667  1623  1467   843  1467
20151127_114946,pasta_mare_e_monti,2119  1256  2921  1256  2921  2002  2119  2002
20151127_114946,pizza,978   378  2004   378  2004  2067   978  2067
20151127_114946,budino,289  1301   729  1301   729  1714   289  1714
20151127_114946,mandarini,550  574  814  574  814  822  550  822
20151127_114946,mandarini,477   920   741   920   741  1157   477  1157
20151127_115133,pasta_zafferano_e_piselli,1819   513  2850   513  2850  1404  1819  1404
20151127_115133,arrosto,367   943  1215   943  1215  1584   367  1584
20151127_115133,patate/pure,545  1265  1269  1265  1269  1793   545  1793
20151127_115133,mandarini,257  378  531  378  531  640  257  640
20151127_115151,pizza,1376   147  2706   147  2706  1647  1376  1647
20151127_115229,yogurt,1110   250  1600   250  1600   756  1110   756
20151127_115229,pane,2158   334  2778   334  2778   808  2158   808
20151127_115229,pasta_zafferano_e_piselli,1715   889  2658   889  2658  1882  1715  1882
20151127_115229,torta_salata_spinaci_e_ricotta,389   826  1230   826  1230  1671   389  1671
20151127_115229,patate/pure,332  1343   943  1343   943  1917   332  1917
20151127_115424,pasta_mare_e_monti,491   515  1408   515  1408  1391   491  1391
20151127_115424,patate/pure,1745  1293  2450  1293  2450  1923  1745  1923
20151127_115424,rosbeef,1793   713  2867   713  2867  1700  1793  1700
20151127_115553,pizzoccheri,1671   741  2380   741  2380  1432  1671  1432
20151127_115553,torta_salata_spinaci_e_ricotta,763  1167  1526  1167  1526  1865   763  1865
20151127_115553,patate/pure,717  1584  1297  1584  1297  2069   717  2069
20151127_115553,arancia,451   725   857   725   857  1149   451  1149
20151127_115951,carote,114   314  1050   314  1050  1235   114  1235
20151127_115951,fagiolini,425  1729  1275  1729  1275  2320   425  2320
20151127_115951,patate/pure,529  1457  1181  1457  1181  1904   529  1904
20151127_115951,arrosto,1439   590  2135   590  2135  1392  1439  1392
20151127_120002,pane,1230   228  1734   228  1734   778  1230   778
20151127_120002,pizzoccheri,252   884  1102   884  1102  1800   252  1800
20151127_120002,pesce_(filetto),1693   843  2630   843  2630  1450  1693  1450
20151127_120002,spinaci,1478  1163  2363  1163  2363  1808  1478  1808
20151127_120128,torta_cioccolato_e_pere,358   513  1078   513  1078  1006   358  1006
